USPS Zip Code,Parent Zip Code,Zip City,County,State
77347,77338,Humble,Harris,TX
77325,77339,Kingwood,Harris,TX
77339,77339,Kingwood,Harris,TX
77340,77340,Huntsville,Walker,TX
77341,77340,Huntsville,Walker,TX
77348,77340,Huntsville,Walker,TX
77345,77345,Kingwood,Harris,TX
77346,77346,Humble,Harris,TX
77354,77354,Magnolia,Montgomery,TX
77353,77355,Magnolia,Montgomery,TX
77355,77355,Magnolia,Montgomery,TX
77333,77356,Montgomery,Montgomery,TX
77356,77356,Montgomery,Montgomery,TX
77357,77357,New Caney,Montgomery,TX
77358,77358,New Waverly,Walker,TX
77359,77359,Oakhurst,San Jacinto,TX
77362,77362,Pinehurst,Montgomery,TX
77364,77364,Pointblank,San Jacinto,TX
77365,77365,Porter,Montgomery,TX
77371,77371,Shepherd,San Jacinto,TX
77372,77372,Splendora,Montgomery,TX
77373,77373,Spring,Harris,TX
77337,77375,Tomball,Harris,TX
77375,77375,Tomball,Harris,TX
77377,77377,Tomball,Harris,TX
77378,77378,Willis,Montgomery,TX
77379,77379,Spring,Harris,TX
77383,77379,Spring,Harris,TX
77391,77379,Spring,Harris,TX
77380,77380,Spring,Montgomery,TX
77387,77380,Spring,Montgomery,TX
77381,77381,Spring,Montgomery,TX
77393,77381,Spring,Montgomery,TX
77382,77382,Spring,Montgomery,TX
77384,77384,Conroe,Montgomery,TX
77385,77385,Conroe,Montgomery,TX
77386,77386,Spring,Montgomery,TX
77388,77388,Spring,Harris,TX
77389,77389,Spring,Harris,TX
77396,77396,Humble,Harris,TX
77400,77400,"3-Digit Zip in Harris, Fort Be",Fort Bend,TX
77401,77401,Bellaire,Harris,TX
77402,77401,Bellaire,Harris,TX
77406,77406,Richmond,Fort Bend,TX
77407,77407,Richmond,Fort Bend,TX
77417,77417,Beasley,Fort Bend,TX
77451,77417,Beasley,Fort Bend,TX
77418,77418,Bellville,Austin,TX
77452,77418,Bellville,Austin,TX
77420,77420,Boling,Wharton,TX
77462,77420,Boling,Wharton,TX
77422,77422,Brazoria,Brazoria,TX
77423,77423,Brookshire,Waller,TX
77466,77423,Brookshire,Waller,TX
77410,77429,Cypress,Harris,TX
77429,77429,Cypress,Harris,TX
77430,77430,Damon,Brazoria,TX
77431,77430,Damon,Brazoria,TX
77433,77433,Cypress,Harris,TX
77435,77435,East Bernard,Wharton,TX
77436,77435,East Bernard,Wharton,TX
77443,77435,East Bernard,Wharton,TX
77448,77435,East Bernard,Wharton,TX
77454,77435,East Bernard,Wharton,TX
77432,77437,El Campo,Wharton,TX
77437,77437,El Campo,Wharton,TX
77467,77437,El Campo,Wharton,TX
77441,77441,Fulshear,Fort Bend,TX
77444,77444,Guy,Fort Bend,TX
77445,77445,Hempstead,Waller,TX
77851,77445,Hempstead,Waller,TX
77447,77447,Hockley,Harris,TX
77449,77449,Katy,Harris,TX
77491,77449,Katy,Harris,TX
77450,77450,Katy,Harris,TX
77455,77455,Louise,Wharton,TX
77459,77459,Missouri City,Fort Bend,TX
77461,77461,Needville,Fort Bend,TX
77421,77469,Richmond,Fort Bend,TX
77469,77469,Richmond,Fort Bend,TX
77481,77469,Richmond,Fort Bend,TX
77464,77471,Rosenberg,Fort Bend,TX
77471,77471,Rosenberg,Fort Bend,TX
77473,77474,Sealy,Austin,TX
77474,77474,Sealy,Austin,TX
77477,77477,Stafford,Fort Bend,TX
77497,77477,Stafford,Fort Bend,TX
77478,77478,Sugar Land,Fort Bend,TX
77487,77478,Sugar Land,Fort Bend,TX
77479,77479,Sugar Land,Fort Bend,TX
77496,77479,Sugar Land,Fort Bend,TX
77463,77480,Sweeny,Brazoria,TX
77480,77480,Sweeny,Brazoria,TX
77446,77484,Waller,Waller,TX
77484,77484,Waller,Waller,TX
77476,77485,Wallis,Fort Bend,TX
77485,77485,Wallis,Fort Bend,TX
77486,77486,West Columbia,Brazoria,TX
77453,77488,Wharton,Wharton,TX
77488,77488,Wharton,Wharton,TX
77489,77489,Missouri City,Fort Bend,TX
77413,77493,Katy,Harris,TX
77492,77493,Katy,Harris,TX
77493,77493,Katy,Harris,TX
77494,77494,Katy,Fort Bend,TX
77498,77498,Sugar Land,Fort Bend,TX
77500,77500,"3-Digit Zip in Harris, Galvest",Harris,TX
77502,77502,Pasadena,Harris,TX
77503,77503,Pasadena,Harris,TX
77504,77504,Pasadena,Harris,TX
77505,77505,Pasadena,Harris,TX
77508,77505,Pasadena,Harris,TX
77501,77506,Pasadena,Harris,TX
77506,77506,Pasadena,Harris,TX
77507,77507,Pasadena,Harris,TX
77510,77510,Santa Fe,Galveston,TX
77511,77511,Alvin,Brazoria,TX
77512,77511,Alvin,Brazoria,TX
77514,77514,Anahuac,Chambers,TX
77579,77514,Anahuac,Chambers,TX
77515,77515,Angleton,Brazoria,TX
77516,77515,Angleton,Brazoria,TX
77517,77517,Santa Fe,Galveston,TX
77518,77518,Bacliff,Galveston,TX
77520,77520,Baytown,Harris,TX
77521,77521,Baytown,Harris,TX
77522,77521,Baytown,Harris,TX
77523,77523,Baytown,Chambers,TX
77580,77523,Baytown,Chambers,TX
77530,77530,Channelview,Harris,TX
77531,77531,Clute,Brazoria,TX
77532,77532,Crosby,Harris,TX
77534,77534,Danbury,Brazoria,TX
77535,77535,Dayton,Liberty,TX
77536,77536,Deer Park,Harris,TX
77538,77538,Devers,Liberty,TX
77539,77539,Dickinson,Galveston,TX
77541,77541,Freeport,Brazoria,TX
77542,77541,Freeport,Brazoria,TX
77545,77545,Fresno,Fort Bend,TX
77546,77546,Friendswood,Galveston,TX
77549,77546,Friendswood,Galveston,TX
77547,77547,Galena Park,Harris,TX
77550,77550,Galveston,Galveston,TX
77553,77550,Galveston,Galveston,TX
77555,77550,Galveston,Galveston,TX
77551,77551,Galveston,Galveston,TX
77552,77551,Galveston,Galveston,TX
77554,77554,Galveston,Galveston,TX
77560,77560,Hankamer,Chambers,TX
77562,77562,Highlands,Harris,TX
77563,77563,Hitchcock,Galveston,TX
77533,77564,Hull,Liberty,TX
77564,77564,Hull,Liberty,TX
77565,77565,Kemah,Galveston,TX
77566,77566,Lake Jackson,Brazoria,TX
77568,77568,La Marque,Galveston,TX
77571,77571,La Porte,Harris,TX
77572,77571,La Porte,Harris,TX
77573,77573,League City,Galveston,TX
77574,77573,League City,Galveston,TX
77561,77575,Liberty,Liberty,TX
77575,77575,Liberty,Liberty,TX
77582,77575,Liberty,Liberty,TX
77577,77577,Liverpool,Brazoria,TX
77578,77578,Manvel,Brazoria,TX
77581,77581,Pearland,Brazoria,TX
77588,77581,Pearland,Brazoria,TX
77583,77583,Rosharon,Brazoria,TX
77584,77584,Pearland,Brazoria,TX
77586,77586,Seabrook,Harris,TX
77587,77587,South Houston,Harris,TX
77590,77590,Texas City,Galveston,TX
77592,77590,Texas City,Galveston,TX
77591,77591,Texas City,Galveston,TX
77597,77597,Wallisville,Chambers,TX
77598,77598,Webster,Harris,TX
77617,77650,Port Bolivar,Galveston,TX
77623,77650,Port Bolivar,Galveston,TX
77650,77650,Port Bolivar,Galveston,TX
77661,77665,Winnie,Chambers,TX
77665,77665,Winnie,Chambers,TX
77873,77873,Richards,Montgomery,TX
78931,78931,Bleiblerville,Austin,TX
78944,78944,Industry,Austin,TX
78950,78950,New Ulm,Austin,TX
